timeMS,CH,CLE,CRE,aX,aY,aZ
5959,-0.9135,1.8335,2.1861,0.00,-0.12,0.47
5968,-0.9132,1.8330,2.1861,0.00,-0.12,0.47
5977,-0.9128,1.8333,2.1863,0.00,-0.12,0.47
5986,-0.9125,1.8333,2.1849,0.00,-0.12,0.47
5995,-0.9154,1.8332,2.1853,0.00,-0.12,0.47
6004,-0.9117,1.8347,2.1854,0.00,-0.12,0.47
6013,-0.9126,1.8327,2.1853,0.00,-0.12,0.47
6022,-0.9141,1.8329,2.1859,0.00,-0.12,0.47
6031,-0.9141,1.8326,2.1876,0.00,-0.12,0.47
6040,-0.9150,1.8319,2.1866,0.00,-0.12,0.47
6049,-0.9156,1.8326,2.1850,0.00,-0.12,0.47
6058,-0.9135,1.8340,2.1843,0.00,-0.12,0.47
6067,-0.9152,1.8321,2.1871,0.00,-0.12,0.47
6076,-0.9107,1.8343,2.1857,0.00,-0.12,0.47
6085,-0.9134,1.8313,2.1837,0.00,-0.12,0.47
6094,-0.9144,1.8343,2.1843,0.00,-0.12,0.47
6103,-0.9124,1.8320,2.1868,0.00,-0.12,0.47
6112,-0.9139,1.8317,2.1854,0.00,-0.12,0.47
6121,-0.9116,1.8328,2.1851,0.00,-0.12,0.47
6130,-0.9124,1.8316,2.1839,0.00,-0.12,0.47
6139,-0.9148,1.8314,2.1869,0.00,-0.12,0.47
6148,-0.9128,1.8333,2.1854,0.00,-0.12,0.47
6157,-0.9141,1.8328,2.1865,0.00,-0.12,0.47
6166,-0.9152,1.8309,2.1856,0.00,-0.12,0.47
6175,-0.9140,1.8323,2.1857,0.00,-0.12,0.47
6184,-0.9130,1.8343,2.1871,0.00,-0.12,0.47
6193,-0.9136,1.8323,2.1863,0.00,-0.12,0.47
6202,-0.9139,1.8340,2.1860,0.00,-0.12,0.47
6211,-0.9129,1.8326,2.1867,0.00,-0.12,0.47
6220,-0.9143,1.8312,2.1848,0.00,-0.12,0.47
6229,-0.9167,1.8328,2.1852,0.00,-0.12,0.47
6238,-0.9143,1.8337,2.1861,0.00,-0.12,0.47
6247,-0.9136,1.8320,2.1880,0.00,-0.12,0.47
6256,-0.9115,1.8329,2.1851,0.00,-0.12,0.47
6265,-0.9126,1.8322,2.1858,0.00,-0.12,0.47
6274,-0.9138,1.8336,2.1856,0.00,-0.12,0.47
6283,-0.9149,1.8327,2.1854,0.00,-0.12,0.47
6292,-0.9159,1.8323,2.1849,0.00,-0.12,0.47
6301,-0.9132,1.8341,2.1874,0.00,-0.12,0.47
6310,-0.9137,1.8323,2.1845,0.00,-0.12,0.47
6319,-0.9158,1.8334,2.1857,0.00,-0.12,0.47
6328,-0.9153,1.8318,2.1858,0.00,-0.12,0.47
6337,-0.9132,1.8329,2.1856,0.00,-0.12,0.47
6346,-0.9128,1.8334,2.1864,0.00,-0.12,0.47
6355,-0.9152,1.8332,2.1863,0.00,-0.12,0.47
6364,-0.9156,1.8303,2.1857,0.00,-0.12,0.47
6373,-0.9132,1.8324,2.1850,0.00,-0.12,0.47
6382,-0.9153,1.8318,2.1877,0.00,-0.12,0.47
6391,-0.9116,1.8322,2.1855,0.00,-0.12,0.47
6400,-0.9135,1.8343,2.1864,0.00,-0.12,0.47
6409,-0.9123,1.8329,2.1843,0.00,-0.12,0.47
6418,-0.9140,1.8324,2.1868,0.00,-0.12,0.47
6427,-0.9120,1.8316,2.1849,0.00,-0.12,0.47
6436,-0.9153,1.8312,2.1861,0.00,-0.12,0.47
6445,-0.9150,1.8339,2.1863,0.00,-0.12,0.47
6454,-0.9178,1.8341,2.1843,0.00,-0.12,0.47
6463,-0.9150,1.8318,2.1865,0.00,-0.12,0.47
6472,-0.9137,1.8320,2.1850,0.00,-0.12,0.47
6481,-0.9146,1.8336,2.1859,0.00,-0.12,0.47
6490,-0.9123,1.8309,2.1865,0.00,-0.12,0.47
6499,-0.9149,1.8350,2.1867,0.00,-0.12,0.47
6508,-0.9130,1.8337,2.1850,0.00,-0.12,0.47
6517,-0.9134,1.8327,2.1863,0.00,-0.12,0.47
6526,-0.9142,1.8326,2.1833,0.00,-0.12,0.47
6535,-0.9128,1.8330,2.1860,0.00,-0.12,0.47
6544,-0.9143,1.8317,2.1856,0.00,-0.12,0.47
6553,-0.9142,1.8312,2.1860,0.00,-0.12,0.47
6562,-0.9150,1.8340,2.1838,0.00,-0.12,0.47
6571,-0.9142,1.8322,2.1866,0.00,-0.12,0.47
6580,-0.9156,1.8313,2.1844,0.00,-0.12,0.47
6589,-0.9131,1.8334,2.1858,0.00,-0.12,0.47
6598,-0.9128,1.8307,2.1845,0.00,-0.12,0.47
6607,-0.9145,1.8328,2.1838,0.00,-0.12,0.47
6616,-0.9158,1.8342,2.1878,0.00,-0.12,0.47
6625,-0.9130,1.8314,2.1854,0.00,-0.12,0.47
6634,-0.9143,1.8332,2.1846,0.00,-0.12,0.47
6643,-0.9131,1.8316,2.1863,0.00,-0.12,0.47
6652,-0.9133,1.8327,2.1849,0.00,-0.12,0.47
6661,-0.9148,1.8331,2.1876,0.00,-0.12,0.47
6670,-0.9140,1.8299,2.1842,0.00,-0.12,0.47
6679,-0.9138,1.8329,2.1857,0.00,-0.12,0.47
6688,-0.9148,1.8309,2.1864,0.00,-0.12,0.47
6697,-0.9137,1.8328,2.1855,0.00,-0.12,0.47
6706,-0.9155,1.8322,2.1846,0.00,-0.12,0.47
6715,-0.9141,1.8314,2.1865,0.00,-0.12,0.47
6724,-0.9121,1.8319,2.1863,0.00,-0.12,0.47
6733,-0.9161,1.8338,2.1831,0.00,-0.12,0.47
6742,-0.9141,1.8298,2.1861,0.00,-0.12,0.47
6751,-0.9115,1.8331,2.1858,0.00,-0.12,0.47
6760,-0.9150,1.8325,2.1844,0.00,-0.12,0.47
6769,-0.9131,1.8309,2.1874,0.00,-0.12,0.47
6778,-0.9130,1.8335,2.1845,0.00,-0.12,0.47
6787,-0.9123,1.8312,2.1846,0.00,-0.12,0.47
6796,-0.9135,1.8314,2.1854,0.00,-0.12,0.47
6805,-0.9153,1.8317,2.1846,0.00,-0.12,0.47
6814,-0.9150,1.8318,2.1845,0.00,-0.12,0.47
6823,-0.9157,1.8329,2.1848,0.00,-0.12,0.47
6832,-0.9142,1.8318,2.1860,0.00,-0.12,0.47
6841,-0.9147,1.8324,2.1859,0.00,-0.12,0.47
6850,-0.9131,1.8322,2.1858,0.00,-0.12,0.47
6859,-0.9149,1.8314,2.1865,0.00,-0.12,0.47
6868,-0.9118,1.8318,2.1866,0.00,-0.12,0.47
6877,-0.9126,1.8320,2.1851,0.00,-0.12,0.47
6886,-0.9130,1.8328,2.1856,0.00,-0.12,0.47
6895,-0.9143,1.8325,2.1863,0.00,-0.12,0.47
6904,-0.9143,1.8325,2.1855,0.00,-0.12,0.47
6913,-0.9119,1.8345,2.1872,0.00,-0.12,0.47
6922,-0.9130,1.8336,2.1864,0.00,-0.12,0.47
6931,-0.9154,1.8334,2.1850,0.00,-0.12,0.47
6940,-0.9137,1.8322,2.1847,0.00,-0.12,0.47
6949,-0.9134,1.8330,2.1839,0.00,-0.12,0.47
6958,-0.9146,1.8321,2.1831,0.00,-0.12,0.47
6967,-0.9141,1.8329,2.1854,0.00,-0.12,0.47
6976,-0.9137,1.8328,2.1849,0.00,-0.12,0.47
6985,-0.9126,1.8341,2.1872,0.00,-0.12,0.47
6994,-0.9142,1.8322,2.1838,0.00,-0.12,0.47
7003,-0.9134,1.8342,2.1869,0.00,-0.12,0.47
7012,-0.9133,1.8343,2.1854,0.00,-0.12,0.47
7021,-0.9161,1.8336,2.1872,0.00,-0.12,0.47
7030,-0.9157,1.8335,2.1873,0.00,-0.12,0.47
7039,-0.9156,1.8334,2.1862,0.00,-0.12,0.47
7048,-0.9136,1.8312,2.1857,0.00,-0.12,0.47
7057,-0.9152,1.8336,2.1859,0.00,-0.12,0.47
7066,-0.9146,1.8321,2.1850,0.00,-0.12,0.47
7075,-0.9141,1.8306,2.1862,0.00,-0.12,0.47
7084,-0.9150,1.8332,2.1863,0.00,-0.12,0.47
7093,-0.9149,1.8328,2.1855,0.00,-0.12,0.47
7102,-0.9139,1.8328,2.1862,0.00,-0.12,0.47
7111,-0.9159,1.8327,2.1859,0.00,-0.12,0.47
7120,-0.9143,1.8333,2.1851,0.00,-0.12,0.47
7129,-0.9127,1.8323,2.1877,0.00,-0.12,0.47
7138,-0.9133,1.8348,2.1839,0.00,-0.12,0.47
7147,-0.9130,1.8338,2.1862,0.00,-0.12,0.47
7156,-0.9125,1.8332,2.1855,0.00,-0.12,0.47
7165,-0.9132,1.8325,2.1855,0.00,-0.12,0.47
7174,-0.9134,1.8323,2.1847,0.00,-0.12,0.47
7183,-0.9137,1.8324,2.1873,0.00,-0.12,0.47
7192,-0.9135,1.8330,2.1863,0.00,-0.12,0.47
7201,-0.9136,1.8319,2.1857,0.00,-0.12,0.47
7210,-0.9131,1.8319,2.1845,0.00,-0.12,0.47
7219,-0.9143,1.8333,2.1837,0.00,-0.12,0.47
7228,-0.9123,1.8321,2.1863,0.00,-0.12,0.47
7237,-0.9145,1.8328,2.1860,0.00,-0.12,0.47
7246,-0.9125,1.8324,2.1862,0.00,-0.12,0.47
7255,-0.9132,1.8332,2.1845,0.00,-0.12,0.47
7264,-0.9156,1.8315,2.1855,0.00,-0.12,0.47
7273,-0.9147,1.8319,2.1871,0.00,-0.12,0.47
7282,-0.9127,1.8330,2.1850,0.00,-0.12,0.47
7291,-0.9138,1.8316,2.1867,0.00,-0.12,0.47
7300,-0.9146,1.8319,2.1850,0.00,-0.12,0.47
7309,-0.9141,1.8346,2.1866,0.00,-0.12,0.47
7318,-0.9153,1.8330,2.1845,0.00,-0.12,0.47
7327,-0.9125,1.8324,2.1849,0.00,-0.12,0.47
7336,-0.9139,1.8321,2.1842,0.00,-0.12,0.47
7345,-0.9134,1.8311,2.1845,0.00,-0.12,0.47
7354,-0.9129,1.8315,2.1853,0.00,-0.12,0.47
7363,-0.9142,1.8333,2.1865,0.00,-0.12,0.47
7372,-0.9144,1.8335,2.1857,0.00,-0.12,0.47
7381,-0.9153,1.8318,2.1845,0.00,-0.12,0.47
7390,-0.9158,1.8327,2.1862,0.00,-0.12,0.47
7399,-0.9147,1.8328,2.1854,0.00,-0.12,0.47
7408,-0.9140,1.8337,2.1861,0.00,-0.12,0.47
7417,-0.9152,1.8317,2.1861,0.00,-0.12,0.47
7426,-0.9134,1.8311,2.1875,0.00,-0.12,0.47
7435,-0.9134,1.8332,2.1845,0.00,-0.12,0.47
7444,-0.9129,1.8320,2.1875,0.00,-0.12,0.47
7453,-0.9122,1.8337,2.1837,0.00,-0.12,0.47
7462,-0.9127,1.8343,2.1839,0.00,-0.12,0.47
7471,-0.9125,1.8336,2.1850,0.00,-0.12,0.47
